   [DateTime] ----- [Request Type[ --- [CL_Ip] ----- [Action URL]
28.03.2019 4:55:38 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:18:36 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:18:40 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:18:51 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:18:54 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:21:24 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:21:37 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:21:47 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:21:56 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:22:08 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:22:11 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:28:28 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:30:23 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:31:03 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:31:54 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:33:42 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:42:32 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:42:35 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:42:46 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:42:57 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:43:49 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:43:54 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:45:47 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:45:52 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 5:47:37 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:50:04 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 5:52:41 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:03:10 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 6:03:17 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:03:19 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:04:03 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:05:12 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:05:56 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:12:58 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:13:09 ----- PUT ----- 127.0.0.1 ----- localhost:44378/Home/Update
28.03.2019 6:13:58 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:14:10 ----- PUT ----- 127.0.0.1 ----- localhost:44378/Home/Update
28.03.2019 6:19:29 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:19:36 ----- PUT ----- 127.0.0.1 ----- localhost:44378/Home/Update
28.03.2019 6:20:22 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:22:02 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:22:56 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:23:00 ----- DELETE ----- 127.0.0.1 ----- localhost:44378/Home/Delete
28.03.2019 6:23:18 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:23:24 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 6:24:21 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 6:24:27 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:29:27 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:29:40 ----- POST ----- 127.0.0.1 ----- localhost:44378/Home/Create
28.03.2019 6:30:10 ----- GET ----- 127.0.0.1 ----- localhost:44378/Home/GetAll
28.03.2019 6:30:10 ----- PUT ----- 127.0.0.1 ----- localhost:44378/Home/Update
28.03.2019 6:30:10 ----- DELETE ----- 127.0.0.1 ----- localhost:44378/Home/Delete
